"psu","ssu"
354850005000296,281
354850005000297,336
354850005000298,321
354850005000299,322
354850005000300,269
354850005000301,335
354850005000302,274
354850005000303,325
354850005000304,251
354850005000305,289
354850005000306,337
354850005000307,285
354850005000308,314
354850005000309,267
354850005000310,319
354850005000311,283
354850005000312,267
354850005000313,339
354850005000314,257
354850005000315,258
354850005000316,334
354850005000317,320
354850005000318,256
354850005000319,303
354850005000320,301
354850005000321,302
354850005000322,272
354850005000323,273
354850005000324,291
354850005000325,344
354850005000326,289
354850005000327,273
354850005000328,347
354850005000329,251
354850005000330,281
354850005000331,263
354850005000332,277
354850005000333,274
354850005000334,251
354850005000335,301
354850005000336,346
354850005000337,253
354850005000338,303
354850005000339,254
354850005000340,283
354850005000341,304
354850005000342,324
354850005000343,313
354850005000344,271
354850005000345,297
354850005000346,263
354850005000347,284
354850005000348,265
354850005000349,280
354850005000350,303
354850005000351,291
354850005000352,315
354850005000353,287
354850005000354,255
354850005000355,255
354850005000356,348
354850005000357,281
354850005000358,273
354850005000359,266
354850005000360,315
354850005000361,297
354850005000362,317
354850005000363,285
354850005000364,310
354850005000365,325
354850005000366,293
354850005000367,271
354850005000368,274
354850005000369,344
354850005000370,300
354850005000371,349
354850005000372,322
354850005000373,321
354850005000374,261
354850005000375,321
354850005000376,286
354850005000377,271
354850005000378,276
354850005000379,261
354850005000380,268
354850005000381,344
354850005000382,343
354850005000383,278
354850005000384,261
354850005000385,297
354850005000386,346
354850005000387,316
354850005000388,339
354850005000389,278
354850005000390,256
354850005000391,329
354850005000392,288
354850005000393,296
354850005000394,335
354850005000395,339
354850005000396,272
354850005000397,252
354850005000398,344
354850005000399,314
354850005000400,250
354850005000401,250
354850005000402,321
354850005000403,262
354850005000404,337
354850005000405,308
354850005000406,307
354850005000407,328
354850005000408,291
354850005000409,303
354850005000410,291
354850005000411,275
354850005000412,290
354850005000413,339
354850005000414,349
354850005000415,281
354850005000416,345
354850005000417,348
354850005000418,265
354850005000419,290
354850005000420,300
354850005000421,336
354850005000422,259
354850005000423,337
354850005000424,306
354850005000425,261
354850005000426,271
354850005000427,296
354850005000428,289
354850005000429,343
354850005000430,325
354850005000431,311
354850005000432,295
354850005000433,337
354850005000434,309
354850005000435,300
354850005000436,337
354850005000437,261
354850005000438,257
354850005000439,343
354850005000440,324
354850005000441,265
354850005000442,281
354850005000443,288
354850005000444,337
354850005000445,261
354850005000446,296
354850005000447,299
354850005000448,263
354850005000449,288
354850005000450,325
354850005000451,340
354850005000452,298
354850005000453,303
354850005000454,324
354850005000455,332
354850005000456,267
354850005000457,320
354850005000458,286
354850005000459,268
354850005000460,298
354850005000461,334
354850005000462,286
354850005000463,290
354850005000464,286
354850005000465,253
354850005000466,316
354850005000467,273
354850005000468,266
354850005000469,284
354850005000470,299
354850005000471,342
354850005000472,269
354850005000473,314
354850005000474,319
354850005000475,302
354850005000476,270
354850005000477,250
354850005000478,338
354850005000479,301
354850005000480,302
354850005000481,318
354850005000482,306
354850005000483,298
354850005000484,318
354850005000485,335
354850005000486,321
354850005000487,258
354850005000488,316
354850005000489,297
354850005000490,268
354850005000491,265
354850005000492,275
354850005000493,333
354850005000494,252
354850005000495,261
354850005000496,305
354850005000497,252
354850005000498,340
354850005000499,343
354850005000500,263
354850005000501,335
354850005000502,317
354850005000503,267
354850005000504,323
354850005000505,278
354850005000506,301
354850005000507,283
354850005000508,260
354850005000509,286
354850005000510,281
354850005000511,251
354850005000512,341
354850005000513,299
354850005000514,329
354850005000515,328
354850005000516,319
354850005000517,285
354850005000518,350
354850005000519,263
354850005000520,289
354850005000521,293
354850005000522,308
354850005000523,309
354850005000524,329
354850005000525,269
354850005000526,295
354850005000527,280
354850005000528,335
354850005000529,263
354850005000530,320
354850005000531,348
354850005000532,291
354850005000533,265
354850005000534,293
354850005000535,311
354850005000536,250
354850005000537,290
354850005000538,277
354850005000539,337
354850005000540,301
354850005000541,292
354850005000542,339
354850005000543,268
354850005000557,274
354850005000558,256
354850005000559,256
354850005000560,270
354850005000561,291
354850005000562,329
354850005000563,300
354850005000564,278
354850005000565,257
354850005000566,267
354850005000567,253
354850005000568,339
354850005000569,270
354850005000570,309
354850005000571,340
354850005000572,345
354850005000573,258
354850005000574,340
354850005000575,313
354850005000576,251
354850005000577,305
354850005000578,253
354850005000579,324
354850005000580,330
354850005000581,325
354850005000582,266
354850005000583,350
354850005000584,255
354850005000585,312
354850005000586,253
354850005000587,275
354850005000588,306
354850005000589,303
354850005000590,347
354850005000591,261
354850005000592,334
354850005000593,284
354850005000594,289
354850005000595,272
354850005000596,329
354850005000597,295
354850005000598,288
354850005000599,265
354850005000600,250
354850005000601,250
354850005000602,324
354850005000603,344
354850005000604,324
354850005000605,343
354850005000606,265
354850005000607,320
354850005000608,252
354850005000609,272
354850005000610,276
354850005000611,310
354850005000612,284
354850005000613,287
354850005000614,343
354850005000615,304
354850005000616,298
354850005000617,292
354850005000618,294
354850005000619,311
354850005000620,350
354850005000621,288
354850005000622,314
354850005000623,332
354850005000624,319
354850005000625,315
354850005000626,266
354850005000627,251
354850005000628,326
354850005000629,279
354850005000630,294
354850005000631,313
354850005000632,287
354850005000633,277
354850005000634,262
354850005000635,260
354850005000636,281
354850005000637,328
354850005000638,264
354850005000639,330
354850005000640,298
354850005000641,306
354850005000642,252
354850005000645,336
354850005000646,291
354850005000647,275
354850005000650,345
354850005000651,267
354850005000652,279
354850005000653,292
354850005000654,312
354850005000655,326
354850005000656,296
354850005000657,266
354850005000658,261
354850005000659,266
354850005000660,340
354850005000661,286
354850005000662,270
354850005000663,336
354850005000664,318
354850005000665,336
354850005000666,343
354850005000667,340
354850005000668,269
354850005000669,331
354850005000670,299
